Ç°¸ñº°,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
»§,51.844,52.222,52.65,52.79,53.325,60.429,64.215,65.23,69.442,72.246,77.474,82.16,83.079,86.219,87.894,93.488,98.061,100,105.51,117.94,129.2
»çÅÁ,53.595,57.092,59.307,60.488,61.935,68.884,76.677,76.3,85.755,92.87,100.535,103.635,101.58,100.025,99.007,98.896,98.595,100,98.07,101.26,112.45
¾ÆÀÌ½ºÅ©¸²,60.665,59.647,61.473,62.293,61.073,69.864,77.055,77.469,84.661,88.062,89.42,96.282,100.124,99.96,97.181,96.387,98.266,100,98.68,105.74,117.13
½º³¼°úÀÚ,47.836,48.78,54.341,54.731,59.902,70.578,74.87,73.448,78.658,83.127,86.097,91.589,92.114,91.45,94.874,96.02,99.348,100,101.81,108.48,115.8
ÁÖ½º,62.51,65.147,66.288,66.581,71.779,81.082,89.81,93.236,102.297,106.903,107.338,106.137,104.896,103.903,103.108,101.674,101.516,100,102.11,108.69,117.75
Åº»êÀ½·á,43.144,45.429,48.247,49.514,51.246,55.391,60.759,63.388,69.411,74.473,78.843,84.33,90.371,89.952,94.172,94.475,95.432,100,105.22,111.98,115.08
¶±ººÀÌ,-,-,-,-,-,-,-,70.743,74.068,75.913,78.579,80.625,83.81,86.422,88.653,93.412,97.47,100,102.95,112.9,121.96
Ä¡Å²,60.5,64.296,67.311,69.105,70.94,76.695,82.427,84.531,85.115,87.123,88.969,89.687,90.215,90.529,91.326,93.831,98.667,100,102.96,112.68,118.47
ÇÜ¹ö°Å,69.43,78.897,78.897,78.897,79.62,82.269,87.463,88.052,93.168,93.701,89.299,90.806,93.518,93.733,94.78,98.859,101.23,100,103.64,112.45,123.48
ÇÇÀÚ,71.135,75.713,75.713,75.713,77.082,85.657,90.174,91.438,92.962,95.728,95.728,98.836,99.119,99.119,99.119,100.324,100.725,100,98.91,107.7,119.73
